iter	Passed	Remaining
0	122	84327
1	227	77855
2	347	79211
3	471	80589
4	590	80556
5	697	79178
6	812	78912
7	905	76878
8	1022	77047
9	1135	76880
10	1246	76626
11	1391	78260
12	1487	77125
13	1602	77033
14	1716	76899
15	1823	76479
16	1932	76173
17	2027	75369
18	2134	75046
19	2244	74851
20	2345	74370
21	2448	73998
22	2558	73869
23	2663	73566
24	2768	73301
25	2878	73180
26	2993	73186
27	3109	73187
28	3224	73155
29	3373	73879
30	3474	73534
31	3593	73560
32	3700	73344
33	3804	73077
34	3915	72944
35	4043	73121
36	4167	73209
37	4274	73004
38	4389	72930
39	4501	72808
40	4605	72563
41	4726	72579
42	4841	72511
43	4954	72401
44	5078	72449
45	5176	72136
46	5312	72343
47	5424	72212
48	5532	72038
49	5636	71814
50	5745	71650
51	5856	71516
52	5961	71318
53	6100	71509
54	6216	71436
55	6326	71283
56	6436	71136
57	6549	71027
58	6660	70893
59	6765	70703
60	6877	70577
61	6998	70547
62	7112	70448
63	7227	70352
64	7353	70363
65	7459	70187
66	7572	70074
67	7679	69910
68	7789	69770
69	7906	69690
70	8019	69573
71	8127	69426
72	8240	69310
73	8358	69243
74	8478	69186
75	8588	69046
76	8710	69001
77	8817	68846
78	8933	68752
79	9056	68719
80	9167	68586
81	9303	68644
82	9415	68517
83	9522	68359
84	9637	68257
85	9769	68275
86	9986	68869
87	10171	69234
88	10326	69388
89	10468	69437
90	10586	69332
91	10713	69288
92	10867	69412
93	11118	70142
94	11301	70423
95	11447	70470
96	11782	71666
97	11939	71759
98	12103	71889
99	12258	71955
100	12379	71825
101	12495	71667
102	12610	71501
103	12723	71323
104	12840	71174
105	12959	71031
106	13125	71149
107	13282	71207
108	13426	71197
109	13549	71074
110	13668	70926
111	13771	70703
112	13885	70533
113	14024	70490
114	14234	70799
115	14435	71057
116	14589	71076
117	14710	70935
118	14821	70745
119	14952	70648
120	15096	70618
121	15219	70485
122	15356	70414
123	15466	70221
124	15644	70339
125	15848	70562
126	16024	70660
127	16178	70656
128	16310	70554
129	16514	70759
130	16679	70792
131	16827	70750
132	16979	70727
133	17120	70653
134	17251	70538
135	17407	70524
136	17544	70434
137	17655	70236
138	17770	70059
139	17884	69876
140	18000	69705
141	18145	69641
142	18289	69577
143	18400	69386
144	18511	69195
145	18624	69012
146	18736	68826
147	18843	68626
148	18980	68532
149	19090	68342
150	19208	68183
151	19355	68125
152	19466	67940
153	19571	67739
154	19687	67571
155	19803	67406
156	19915	67229
157	20028	67058
158	20145	66897
159	20251	66703
160	20380	66584
161	20503	66445
162	20613	66266
163	20727	66100
164	20844	65944
165	20998	65904
166	21125	65779
167	21279	65737
168	21392	65569
169	21524	65458
170	21654	65342
171	21775	65201
172	21888	65032
173	22024	64935
174	22162	64841
175	22274	64670
176	22384	64498
177	22502	64345
178	22622	64202
179	22727	64014
180	22853	63889
181	23009	63843
182	23125	63689
183	23250	63560
184	23363	63398
185	23477	63237
186	23635	63197
187	23796	63161
188	23941	63082
189	24067	62956
190	24207	62863
191	24330	62727
192	24452	62587
193	24584	62475
194	24709	62343
195	24828	62197
196	24938	62029
197	25068	61911
198	25195	61785
199	25352	61733
200	25508	61676
201	25623	61522
202	25735	61359
203	25855	61217
204	25973	61068
205	26084	60906
206	26195	60744
207	26309	60588
208	26422	60430
209	26534	60271
210	26640	60099
211	26749	59934
212	26868	59790
213	27014	59710
214	27150	59604
215	27271	59467
216	27388	59320
217	27499	59160
218	27610	59002
219	27719	58841
220	27833	58690
221	27938	58519
222	28055	58375
223	28169	58224
224	28279	58067
225	28394	57919
226	28500	57754
227	28610	57596
228	28716	57433
229	28830	57285
230	28977	57202
231	29088	57048
232	29222	56940
233	29351	56821
234	29470	56683
235	29581	56530
236	29687	56367
237	29777	56176
238	29898	56043
239	30013	55899
240	30124	55748
241	30231	55590
242	30345	55446
243	30458	55299
244	30576	55163
245	30690	55019
246	30810	54884
247	30964	54812
248	31104	54714
249	31315	54739
250	31447	54625
251	31571	54498
252	31680	54345
253	31802	54214
254	31926	54087
255	32078	54006
256	32221	53911
257	32333	53763
258	32443	53614
259	32555	53465
260	32670	53323
261	32785	53183
262	32930	53089
263	33043	52944
264	33175	52829
265	33343	52772
266	33461	52635
267	33594	52523
268	33710	52383
269	33882	52328
270	34005	52200
271	34118	52056
272	34270	51970
273	34410	51866
274	34529	51731
275	34650	51599
276	34783	51484
277	34954	51426
278	35094	51320
279	35294	51302
280	35419	51175
281	35532	51030
282	35678	50933
283	35808	50812
284	35921	50668
285	36033	50522
286	36149	50382
287	36272	50252
288	36384	50107
289	36504	49973
290	36612	49823
291	36738	49697
292	36859	49565
293	37009	49471
294	37116	49321
295	37288	49255
296	37397	49107
297	37514	48970
298	37621	48819
299	37732	48674
300	37876	48571
301	38016	48465
302	38201	48413
303	38333	48295
304	38442	48147
305	38550	47999
306	38662	47855
307	38820	47769
308	38963	47664
309	39071	47516
310	39228	47427
311	39369	47319
312	39490	47186
313	39604	47046
314	39719	46906
315	39829	46761
316	39945	46623
317	40066	46492
318	40184	46357
319	40632	46600
320	40924	46661
321	41094	46582
322	41289	46530
323	41470	46462
324	41623	46362
325	41758	46241
326	41970	46206
327	42130	46112
328	42303	46032
329	42474	45950
330	42647	45869
331	42843	45811
332	42998	45709
333	43260	45721
334	43424	45627
335	43590	45536
336	43736	45424
337	43874	45302
338	44074	45244
339	44498	45414
340	44672	45327
341	44852	45246
342	45064	45195
343	45277	45145
344	45469	45074
345	45672	45012
346	45821	44897
347	46002	44813
348	46147	44693
349	46280	44561
350	46421	44438
351	46558	44310
352	46689	44176
353	46857	44077
354	46966	43923
355	47092	43785
356	47241	43668
357	47360	43523
358	47492	43391
359	47661	43292
360	47786	43153
361	47900	43004
362	48055	42892
363	48214	42784
364	48355	42658
365	48522	42556
366	48706	42468
367	48890	42380
368	49096	42311
369	49276	42217
370	49406	42082
371	49525	41936
372	49652	41798
373	49799	41677
